NOTE,ALT,FREQ3,FREQ4,FREQ5
C,,48,60,72
C#,Db,49,61,73
D,,50,62,74
D#,Eb,51,63,75
E,,52,64,76
F,,53,65,77
F#,Gb,54,66,78
G,,55,67,79
G#,Ab,56,68,80
A,,57,69,81
A#,Bb,58,70,82
B,,59,71,83
